epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2789.67,0.59423,0.27832,1.09543,0.97156,0.98701,0.9908,0.81121,0.75453,0.30503,1.25335,5.3248e-05,5.3248e-05,5.3248e-05
42,2856.8,0.5889,0.27322,1.08271,0.97597,0.99206,0.99088,0.80982,0.75472,0.30048,1.26419,4.81792e-05,4.81792e-05,4.81792e-05
43,2917.13,0.57552,0.26778,1.07628,0.97643,0.9849,0.99003,0.80684,0.76071,0.29707,1.27562,4.31104e-05,4.31104e-05,4.31104e-05
44,2976.42,0.5647,0.26506,1.08553,0.97721,0.98941,0.99157,0.80794,0.76687,0.29812,1.27981,3.80416e-05,3.80416e-05,3.80416e-05
45,3036.65,0.56158,0.2638,1.0741,0.97678,0.98604,0.99185,0.80818,0.76391,0.29848,1.28298,3.29728e-05,3.29728e-05,3.29728e-05
46,3097.89,0.54126,0.24963,1.05121,0.9756,0.98135,0.99258,0.80983,0.76245,0.29777,1.28224,2.7904e-05,2.7904e-05,2.7904e-05
47,3159.05,0.52636,0.24843,1.04769,0.97806,0.98617,0.99307,0.81182,0.76,0.2957,1.28832,2.28352e-05,2.28352e-05,2.28352e-05
48,3225.6,0.53176,0.24621,1.04748,0.9758,0.99045,0.99294,0.8116,0.75635,0.29374,1.28932,1.77664e-05,1.77664e-05,1.77664e-05
49,3285.76,0.51933,0.24068,1.03916,0.97707,0.98982,0.99191,0.81169,0.75485,0.29377,1.28428,1.26976e-05,1.26976e-05,1.26976e-05
50,3371.28,0.50828,0.23504,1.03489,0.97586,0.99027,0.99337,0.8078,0.75545,0.29333,1.2848,7.6288e-06,7.6288e-06,7.6288e-06
